,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
471,2020.0,550000.0,,550000.0,8.0,6.0,6.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
472,1923.0,339900.0,347.0,339900.0,6.0,3.0,2.0,3123.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
473,1899.0,349999.0,370.0,349999.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
474,1956.0,250000.0,244.0,250000.0,3.0,2.0,2.0,3781.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
475,,185000.0,154.0,185000.0,3.0,2.0,1.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
476,2003.0,229900.0,,229900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
477,1928.0,449000.0,234.0,449000.0,3.0,2.0,1.0,4720.0,1,0,0,0,1,0,1,0,0,0,0,Chicago
478,1983.0,280000.0,252.0,280000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,1,0,0,0,Chicago
479,1973.0,325000.0,271.0,325000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
480,2006.0,465000.0,,465000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
481,1932.0,750000.0,300.0,750000.0,4.0,3.0,3.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
482,1928.0,453000.0,262.0,453000.0,8.0,3.0,3.0,4704.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
483,1925.0,429000.0,390.0,429000.0,6.0,3.0,3.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
484,1915.0,599900.0,,599900.0,5.0,3.0,3.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
485,2003.0,538900.0,,538900.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
486,1921.0,399000.0,246.0,399000.0,3.0,2.0,2.0,4961.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
487,1927.0,275000.0,,275000.0,6.0,4.0,3.0,,1,0,1,0,0,0,1,0,0,0,0,Chicago
488,1920.0,315000.0,286.0,315000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
489,1925.0,365000.0,177.0,365000.0,2.0,1.0,1.0,3123.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
490,1998.0,349900.0,269.0,349900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
491,1885.0,499900.0,454.0,499900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
492,1958.0,139500.0,233.0,139500.0,0.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
493,,519000.0,273.0,519000.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
494,1972.0,130000.0,,130000.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
495,2009.0,299000.0,359.0,299000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
496,2009.0,289900.0,,289900.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
497,1906.0,3000000.0,,3000000.0,4.0,5.0,2.0,,3,0,0,1,0,0,0,0,0,0,0,Chicago
498,1949.0,700000.0,368.0,700000.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
499,2002.0,277800.0,232.0,277800.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
500,1968.0,155000.0,295.0,155000.0,0.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
501,1903.0,375000.0,268.0,375000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
502,1906.0,449000.0,187.0,449000.0,4.0,2.0,2.0,,0,1,0,0,0,0,0,0,1,0,0,Chicago
503,1960.0,285000.0,286.0,285000.0,3.0,2.0,1.0,1695.0,1,0,0,0,0,1,0,0,0,0,0,Chicago
504,1910.0,55000.0,46.0,55000.0,3.0,1.0,1.0,3101.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
505,1945.0,229000.0,115.0,229000.0,5.0,3.0,3.0,3075.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
506,1998.0,285000.0,293.0,285000.0,1.0,2.0,1.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
507,1911.0,284999.0,259.0,284999.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
508,1912.0,95000.0,,95000.0,5.0,2.0,2.0,,0,0,0,1,0,0,1,0,0,0,0,Chicago
509,2006.0,350000.0,175.0,350000.0,2.0,3.0,2.0,,1,0,0,0,0,1,0,0,0,0,0,Chicago
510,2013.0,649900.0,351.0,649900.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
511,2008.0,764900.0,467.0,764900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
512,1911.0,299900.0,128.0,299900.0,4.0,2.0,2.0,4704.0,0,0,0,0,1,0,1,0,0,0,0,Chicago
513,2020.0,439900.0,169.0,439900.0,5.0,3.0,3.0,3049.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
514,2016.0,1050000.0,240.0,1050000.0,5.0,4.0,3.0,,1,0,0,0,1,0,0,0,0,0,0,Chicago
515,2001.0,219000.0,219.0,219000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
516,2007.0,595000.0,350.0,595000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
517,1917.0,265000.0,140.0,265000.0,4.0,4.0,2.0,3720.0,2,0,0,0,1,0,0,0,0,0,0,Chicago
518,2015.0,925000.0,463.0,925000.0,3.0,3.0,3.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
519,1962.0,89900.0,,89900.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
520,2003.0,305000.0,235.0,305000.0,2.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
521,2002.0,485000.0,394.0,485000.0,2.0,2.0,,,0,1,0,0,0,0,0,0,0,0,0,Chicago
522,2008.0,319900.0,267.0,319900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
523,2004.0,399900.0,267.0,399900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
524,1921.0,415000.0,218.0,415000.0,5.0,3.0,2.0,5140.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
525,2003.0,290000.0,223.0,290000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
526,1961.0,310000.0,282.0,310000.0,3.0,2.0,2.0,3092.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
527,1926.0,379000.0,217.0,379000.0,3.0,2.0,2.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
528,1909.0,275000.0,138.0,275000.0,3.0,3.0,2.0,3876.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
529,1927.0,624500.0,297.0,624500.0,2.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
530,2001.0,547500.0,288.0,547500.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
531,1908.0,290000.0,,290000.0,5.0,2.0,2.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
532,2004.0,339000.0,313.0,339000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
533,2007.0,540000.0,450.0,540000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
534,1887.0,849900.0,262.0,849900.0,4.0,4.0,3.0,2905.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
535,1921.0,274900.0,158.0,274900.0,6.0,2.0,1.0,3811.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
536,1888.0,1395000.0,,1395000.0,6.0,4.0,2.0,,2,0,1,0,0,0,1,0,0,0,0,Chicago
537,2008.0,420000.0,405.0,420000.0,1.0,2.0,1.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
538,2009.0,369900.0,363.0,369900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
