,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
364,Single Family,2016,Forced air,Central,4 spaces,$159/month,$269,"$525,000", 3, 3, 3,,7000-Cut-Plains-Trl-Austin-TX-78726,https://www.zillow.com/homedetails/7000-Cut-Plains-Trl-Austin-TX-78726/2077718915_zpid/,"8,363 sqft"
365,Condo,2020,Forced air,Central,2 spaces,$30/month,$512,"$475,000", 2, 3, 2, 1,1210-Singleton-Ave-UNIT-B-Austin-TX-78702,https://www.zillow.com/homedetails/1210-Singleton-Ave-UNIT-B-Austin-TX-78702/251030561_zpid/,
366,Single Family,1974,"Other, Electric",Central,6 spaces,,$308,"$615,000", 4, 2, 2,,10102-Dobbin-Dr-Austin-TX-78748,https://www.zillow.com/homedetails/10102-Dobbin-Dr-Austin-TX-78748/29507462_zpid/,0.48 Acres
367,Condo,2003,"Forced air, Electric, Gas",Central,2 spaces,$675/mo,$590,"$875,000", 2, 2, 2,,800-W-5th-St-APT-705-Austin-TX-78703,https://www.zillow.com/homedetails/800-W-5th-St-APT-705-Austin-TX-78703/63834416_zpid/,
368,Condo,1962,"Forced air, Electric",Central,2 spaces,$186/mo,$344,"$249,000", 2, 1, 1,,2408-Longview-St-APT-208-Austin-TX-78705,https://www.zillow.com/homedetails/2408-Longview-St-APT-208-Austin-TX-78705/29393686_zpid/,
369,Condo,2008,"Forced air, Electric",Central,2 spaces,$721/mo,$522,"$639,500", 2, 2, 2,,360-Nueces-St-APT-905-Austin-TX-78701,https://www.zillow.com/homedetails/360-Nueces-St-APT-905-Austin-TX-78701/89552674_zpid/,
370,Single Family,2020,"Forced air, Electric, Gas",Central,4 spaces,,$751,"$2,699,000", 4, 4, 3, 1,1820-Kenwood-Ave-Austin-TX-78704,https://www.zillow.com/homedetails/1820-Kenwood-Ave-Austin-TX-78704/29460523_zpid/,"10,458 sqft"
371,Single Family,2008,Forced air,Central,2 spaces,$29/month,$184,"$265,000", 3, 2, 2,,5108-Bantom-Woods-Bnd-Austin-TX-78724,https://www.zillow.com/homedetails/5108-Bantom-Woods-Bnd-Austin-TX-78724/80098813_zpid/,"5,619 sqft"
372,Single Family,1987,Forced air,Central,2 spaces,$43/month,$226,"$415,000", 3, 2, 2,,11201-Whiskey-River-Dr-Austin-TX-78748,https://www.zillow.com/homedetails/11201-Whiskey-River-Dr-Austin-TX-78748/29512379_zpid/,"7,187 sqft"
373,Condo,1969,Forced air,Central,1 space,$332/month,$348,"$265,000", 1, 1, 1,,1240-Barton-Hills-Dr-APT-107-Austin-TX-78704,https://www.zillow.com/homedetails/1240-Barton-Hills-Dr-APT-107-Austin-TX-78704/29325602_zpid/,
