,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
512,2020.0,469990.0,427.0,469990.0,2.0,2.0,2.0,0,8494.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
513,,328990.0,194.0,328990.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
514,2020.0,603990.0,125.0,603990.0,4.0,5.0,4.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
515,2020.0,85995.0,55.0,85995.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
516,,243990.0,161.0,243990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
517,,453900.0,154.0,453900.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
518,,284990.0,198.0,284990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
519,2020.0,316990.0,190.0,316990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
520,2020.0,259990.0,146.0,259990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
521,2020.0,370990.0,211.0,370990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
522,2020.0,386995.0,205.0,386995.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
523,,299000.0,443.0,299000.0,1.0,1.0,1.0,0,,0,0,0,0,1,0,0,0,0,0,0,0,Austin
524,1972.0,325000.0,258.0,325000.0,3.0,2.0,2.0,0,8363.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
525,1982.0,269900.0,187.0,269900.0,2.0,3.0,2.0,1,1655.0,0,0,0,0,0,1,0,0,0,0,0,0,Austin
526,,280995.0,138.0,280995.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
527,,551990.0,212.0,551990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
528,2013.0,439000.0,582.0,439000.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
529,1970.0,699900.0,368.0,699900.0,0.0,0.0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,Austin
530,2020.0,236990.0,170.0,236990.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
531,2020.0,418400.0,189.0,418400.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
532,1981.0,382000.0,248.0,382000.0,4.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
533,2020.0,265990.0,148.0,265990.0,4.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
534,,5266800.0,1400.0,5266800.0,4.0,3.0,3.0,0,,1,0,0,0,0,0,0,0,0,1,0,0,Austin
535,1986.0,179500.0,312.0,179500.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
536,1970.0,559000.0,250.0,559000.0,5.0,3.0,2.0,1,8102.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
537,1979.0,635000.0,292.0,635000.0,4.0,3.0,2.0,1,22215.6,0,0,0,0,1,0,0,0,0,0,0,0,Austin
538,2020.0,394990.0,158.0,394990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
539,2020.0,310990.0,114.0,310990.0,5.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
540,2018.0,1345000.0,640.0,1345000.0,3.0,3.0,2.0,1,6272.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
541,2014.0,695000.0,326.0,695000.0,3.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
542,2002.0,205000.0,218.0,205000.0,2.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
543,2017.0,474598.0,408.0,474598.0,2.0,2.0,1.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
544,,532000.0,387.0,532000.0,2.0,3.0,2.0,1,3837.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
545,2014.0,999444.0,237.0,999444.0,4.0,3.0,3.0,0,18295.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
546,2020.0,356990.0,154.0,356990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
547,2008.0,3495000.0,434.0,3495000.0,7.0,7.0,,0,108900.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
548,1985.0,222500.0,275.0,222500.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
549,2020.0,755000.0,388.0,755000.0,3.0,3.0,3.0,0,4791.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
550,2020.0,799000.0,313.0,799000.0,3.0,3.0,2.0,1,8494.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
551,2014.0,245000.0,260.0,245000.0,1.0,2.0,1.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
552,1973.0,258000.0,532.0,258000.0,1.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
553,1985.0,575000.0,251.0,575000.0,3.0,4.0,3.0,1,5314.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
554,1966.0,450000.0,317.0,450000.0,3.0,2.0,2.0,0,8450.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
555,1960.0,349000.0,415.0,349000.0,3.0,1.0,1.0,0,6098.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
556,2020.0,300434.0,182.0,300434.0,3.0,2.0,2.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
557,2020.0,321241.0,143.0,321241.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
558,,270990.0,127.0,270990.0,4.0,2.0,2.0,0,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
559,1955.0,465000.0,395.0,465000.0,3.0,1.0,1.0,0,4560.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
560,,469990.0,233.0,469990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
561,,625000.0,323.0,625000.0,2.0,4.0,3.0,1,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
562,1994.0,2400000.0,476.0,2400000.0,3.0,5.0,4.0,1,50965.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
563,1953.0,499999.0,333.0,499999.0,3.0,2.0,2.0,0,9016.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
564,2006.0,265000.0,369.0,265000.0,2.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
565,2020.0,2500000.0,776.0,2500000.0,4.0,4.0,4.0,0,8241.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
566,2000.0,225000.0,171.0,225000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
567,2020.0,499000.0,241.0,499000.0,3.0,2.0,2.0,0,7666.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
568,1981.0,417750.0,239.0,417750.0,3.0,3.0,2.0,1,8402.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
569,1985.0,689000.0,293.0,689000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
570,,305990.0,115.0,305990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
571,2020.0,456900.0,176.0,456900.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
572,1979.0,280000.0,253.0,280000.0,3.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
573,1969.0,299000.0,344.0,299000.0,2.0,1.0,1.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
574,2016.0,689000.0,370.0,689000.0,3.0,3.0,3.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
575,2012.0,1495000.0,599.0,1495000.0,3.0,3.0,3.0,0,4573.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
