,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
266,Condo,2007,Forced air,Central,1 space,"$440,000", 1, 2, 1,450-E-Waterside-Dr-UNIT-2101-Chicago-IL-60601,https://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-2101-Chicago-IL-60601/89962114_zpid/,$499/month,,$458, 1,,,,
267,Condo,2001,Forced air,Central,1 space,"$299,000", 1, 1, 1,600-N-Dearborn-St-APT-1210-Chicago-IL-60654,https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1210-Chicago-IL-60654/63700351_zpid/,$491/month,,$415,,,,,
268,Condo,1920,Gas,Central,None,"$159,000", 2, 1, 1,3102-W-Belle-Plaine-Ave-G-Chicago-IL-60618,https://www.zillow.com/homedetails/3102-W-Belle-Plaine-Ave-G-Chicago-IL-60618/2078016559_zpid/,$270/month,,$167,,,,,
269,Multiple Occupancy,1895,Forced air,Central,No Data,"$789,000", 5, 3, 3,3648-N-Wayne-Ave-Chicago-IL-60613,https://www.zillow.com/homedetails/3648-N-Wayne-Ave-Chicago-IL-60613/2087846356_zpid/,,,$415,,,,,
270,Condo,1915,"Forced air, Gas",Central,1 space,"$145,000", 1, 1, 1,1331-W-North-Shore-Ave-APT-3S-Chicago-IL-60626,https://www.zillow.com/homedetails/1331-W-North-Shore-Ave-APT-3S-Chicago-IL-60626/87699324_zpid/,$210/mo,,$242,,,,,
271,Condo,1908,Electric,Central,1 space,"$579,000", 3, 3, 2,1058-W-Armitage-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1058-W-Armitage-Ave-A-Chicago-IL-60614/2077659158_zpid/,$564/month,,$276, 1,,,,
272,Condo,2002,"Forced air, Gas",Central,1 space,"$445,000", 2, 2, 2,111-S-Morgan-St-APT-308-Chicago-IL-60607,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-308-Chicago-IL-60607/65571392_zpid/,$518/mo,,$371,,,,,
273,Condo,1973,Forced air,Central,2 spaces,"$739,000", 3, 2, 2,200-E-Delaware-Pl-APT-17F-Chicago-IL-60611,https://www.zillow.com/homedetails/200-E-Delaware-Pl-APT-17F-Chicago-IL-60611/3849282_zpid/,"$1,476/month",,$477,,,,,
274,Single Family,1951,Forced air,Central,3 spaces,"$184,900", 3, 1, 1,Chicago-IL-60652,https://www.zillow.com/homedetails/Chicago-IL-60652/2077659324_zpid/,None,"6,072 sqft",$185,,,,,
275,Single Family,1960,"Forced air, Gas",Central,2 spaces,"$284,000", 4, 2, 2,4947-W-Bloomingdale-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/4947-W-Bloomingdale-Ave-Chicago-IL-60639/3685387_zpid/,,"3,136 sqft",$183,,,,,
276,Townhouse,1945,Gas,Central,2 spaces,"$99,900", 2, 1, 1,9612-S-Euclid-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/9612-S-Euclid-Ave-Chicago-IL-60617/4135775_zpid/,,"3,427 sqft",$107,,,,,
277,Condo,1969,Radiant,Wall,1 space,"$835,000", 3, 3, 2,1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611,https://www.zillow.com/homedetails/1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611/3846441_zpid/,"$2,305/month",,$390, 1,,,,
278,Single Family,1900,Gas,No Data,2 spaces,"$125,000", 3, 1, 1,2103-N-Long-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2103-N-Long-Ave-Chicago-IL-60639/3684395_zpid/,,"3,149 sqft",$87,,,,,
279,Townhouse,1997,"Electric, Gas",Central,2 spaces,"$500,000", 2, 3, 3,855-W-Erie-St-APT-116-Chicago-IL-60642,https://www.zillow.com/homedetails/855-W-Erie-St-APT-116-Chicago-IL-60642/2125705882_zpid/,,No Data,$333,,,,,
280,Townhouse,1979,Forced air,Central,1 space,"$665,000", 3, 3, 2,1906-N-Mohawk-St-23-Chicago-IL-60614,https://www.zillow.com/homedetails/1906-N-Mohawk-St-23-Chicago-IL-60614/3740190_zpid/,$234/month,0.73 acres,No Data, 1,,,,
281,Single Family,2007,Forced air,Central,2 spaces,"$1,999,999", 6, 6, 5,1460-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,,"3,750 sqft",$322, 1,,,,
282,Single Family,1880,Forced air,Central,None,"$1,400,000", 4, 5, 4,1720-N-Sedgwick-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1720-N-Sedgwick-St-Chicago-IL-60614/2141869717_zpid/,,"1,655 sqft",$491, 1,,,,
283,Single Family,2008,Forced air,Central,2 spaces,"$1,600,000", 8, 6, 5,6852-N-Tonty-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6852-N-Tonty-Ave-Chicago-IL-60646/3552996_zpid/,,"9,510 sqft",$225, 1,,,,
