,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
595,Single Family,No Data,"Forced air, Gas",Central,2 spaces,"$839,900", 4, 4, 3,https:,https://www.zillow.com/community/mclean-collection/2080014966_zpid/,,No Data,$227, 1,,,,
596,Condo,1970,Gas,Central,No Data,"$304,700", 1, 1, 1,40-E-Cedar-St-APT-21B-Chicago-IL-60611,https://www.zillow.com/homedetails/40-E-Cedar-St-APT-21B-Chicago-IL-60611/3846589_zpid/,$717/mo,,$348,,,,,
597,Condo,2020,Gas,Central,1 space,"$429,900", 3, 2, 2,4033-N-Elston-Ave-4-Chicago-IL-60618,https://www.zillow.com/homedetails/4033-N-Elston-Ave-4-Chicago-IL-60618/2077694583_zpid/,$162/mo,,$232,,,,,
598,Single Family,1923,"Forced air, Gas",Central,2 spaces,"$285,000", 4, 3, 2,8008-S-Prairie-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/8008-S-Prairie-Ave-Chicago-IL-60619/4018090_zpid/,,"4,830 sqft",$255, 1,,,,
599,Condo,1969,Forced air,Wall,1 space,"$459,000", 1, 2, 2,175-E-Delaware-Pl-APT-5902-Chicago-IL-60611,https://www.zillow.com/homedetails/175-E-Delaware-Pl-APT-5902-Chicago-IL-60611/3850165_zpid/,$961/month,,$357,,,,,
600,Multi Family,No Data,Gas,No Data,2 spaces,"$249,500", 10, 4, 4,4535-S-Honore-St-Chicago-IL-60609,https://www.zillow.com/homedetails/4535-S-Honore-St-Chicago-IL-60609/2129765190_zpid/,,,$227,,,,,
601,Condo,1962,Baseboard,No Data,No Data,"$49,900", 1, 1, 1,7337-S-South-Shore-Dr-APT-1101-Chicago-IL-60649,https://www.zillow.com/homedetails/7337-S-South-Shore-Dr-APT-1101-Chicago-IL-60649/4025316_zpid/,$563/mo,,$67,,,,,
602,Condo,1996,Gas,Central,1 space,"$810,000", 3,,,1122-N-Dearborn-St-APT-17H-Chicago-IL-60610,https://www.zillow.com/homedetails/1122-N-Dearborn-St-APT-17H-Chicago-IL-60610/60266321_zpid/,$54/mo,,$463,,,,,
603,Multi Family,1925,Forced air,No Data,2 spaces,"$259,900", 8, 3, 3,5805-S-Washtenaw-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/5805-S-Washtenaw-Ave-Chicago-IL-60629/2146870214_zpid/,,,No Data,,,,,
604,Apartment,No Data,No Data,No Data,No Data,"$339,000", 0,,,5617-W-63rd-Pl-Chicago-IL-60638,https://www.zillow.com/homedetails/5617-W-63rd-Pl-Chicago-IL-60638/2077695420_zpid/,,,No Data,,,,,
605,Condo,1991,Forced air,Central,1 space,"$335,000", 1, 1, 1,480-N-Mcclurg-Ct-APT-615-Chicago-IL-60611,https://www.zillow.com/homedetails/480-N-Mcclurg-Ct-APT-615-Chicago-IL-60611/121069285_zpid/,$386/mo,,$419,,,,,
606,Single Family,No Data,Forced air,Central,2 spaces,"$1,950,000", 6, 6, 4,2722-N-Magnolia-Ave-Chicago-IL-60614,https://www.zillow.com/homedetails/2722-N-Magnolia-Ave-Chicago-IL-60614/2077695437_zpid/,,"3,101 sqft",$464, 2,,,,
607,Single Family,2001,"Forced air, Gas",Central,2 spaces,"$559,900", 4, 3, 2,1656-N-Whipple-St-Chicago-IL-60647,https://www.zillow.com/homedetails/1656-N-Whipple-St-Chicago-IL-60647/54533076_zpid/,,"3,859 sqft",$393, 1,,,,
608,Condo,2003,Forced air,Central,1 space,"$400,000", 2, 2, 2,41-E-8th-St-APT-2807-Chicago-IL-60605,https://www.zillow.com/homedetails/41-E-8th-St-APT-2807-Chicago-IL-60605/65569682_zpid/,$749/month,,$308,,,,,
609,Condo,1930,No Data,No Data,None,"$189,000", 2, 1, 1,1532-W-Fargo-Ave-APT-1N-Chicago-IL-60626,https://www.zillow.com/homedetails/1532-W-Fargo-Ave-APT-1N-Chicago-IL-60626/65546247_zpid/,$403/month,,$158,,,,,
610,Multi Family,1923,Gas,Central,2 spaces,"$380,000", 6, 4, 2,5325-W-Potomac-Ave-Chicago-IL-60651,https://www.zillow.com/homedetails/5325-W-Potomac-Ave-Chicago-IL-60651/2143543822_zpid/,,,No Data, 2,,,,
611,Single Family,2006,"Other, Gas",Central,2 spaces,"$699,000", 4, 4, 3,3106-N-Spaulding-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3106-N-Spaulding-Ave-Chicago-IL-60618/87699458_zpid/,,"3,092 sqft",$227, 1,,,,
612,Condo,2009,Forced air,Central,2 spaces,"$540,000", 2, 2, 2,1517-W-Augusta-Blvd-3-Chicago-IL-60642,https://www.zillow.com/homedetails/1517-W-Augusta-Blvd-3-Chicago-IL-60642/99345246_zpid/,$142/month,,$450,,,,,
613,Condo,1916,"None, Forced air",Central,1 space,"$369,000", 1, 1, 1,1601-W-School-St-APT-414-Chicago-IL-60657,https://www.zillow.com/homedetails/1601-W-School-St-APT-414-Chicago-IL-60657/3710606_zpid/,$446/mo,,$335,,,,,
614,Condo,2008,Forced air,Central,No Data,"$549,000", 2, 2, 2,505-N-Mcclurg-Ct-APT-3101-Chicago-IL-60611,https://www.zillow.com/homedetails/505-N-Mcclurg-Ct-APT-3101-Chicago-IL-60611/99346923_zpid/,$704/mo,,$459,,,,,
615,Single Family,1956,"Forced air, Gas",Central,2 spaces,"$289,900", 5, 2, 2,5040-S-Lawler-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5040-S-Lawler-Ave-Chicago-IL-60638/3924062_zpid/,,"3,781 sqft",$275,,,,,
616,Townhouse,No Data,Gas,Central,1 space,"$750,000", 3, 4, 2,1818-N-Dayton-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1818-N-Dayton-St-Chicago-IL-60614/2077696143_zpid/,,No Data,, 2,,,,
617,Townhouse,1995,Forced air,Central,1 space,"$349,000", 1, 2, 2,1125-W-Newport-Ave-N-Chicago-IL-60657,https://www.zillow.com/homedetails/1125-W-Newport-Ave-N-Chicago-IL-60657/2077696261_zpid/,$210/month,No Data,$255,,,,,
618,Condo,2002,"Forced air, Gas",Central,2 spaces,"$450,000", 2, 2, 2,2147-W-Rice-St-APT-2E-Chicago-IL-60622,https://www.zillow.com/homedetails/2147-W-Rice-St-APT-2E-Chicago-IL-60622/63698252_zpid/,$166/mo,,$333,,,,,
619,Condo,2001,Gas,Central,1 space,"$659,900", 3, 2, 2,1148-W-Monroe-St-UNIT-3NW-Chicago-IL-60607,https://www.zillow.com/homedetails/1148-W-Monroe-St-UNIT-3NW-Chicago-IL-60607/80840800_zpid/,$385/mo,,$388,,,,,
620,Single Family,1993,Forced air,Central,None,"$399,000", 4, 2, 2,4322-S-Albany-Ave-Chicago-IL-60632,https://www.zillow.com/homedetails/4322-S-Albany-Ave-Chicago-IL-60632/3913944_zpid/,,"6,155 sqft",$171,,,,,
621,Condo,1991,Forced air,Central,1 space,"$295,000", 1, 1, 1,440-N-Wabash-Ave-APT-2004-Chicago-IL-60611,https://www.zillow.com/homedetails/440-N-Wabash-Ave-APT-2004-Chicago-IL-60611/80829456_zpid/,$529/month,,No Data,,,,,
622,Multiple Occupancy,1890,No Data,No Data,2 spaces,"$199,000", 5, 2, 2,6830-S-Justine-St-Chicago-IL-60636,https://www.zillow.com/homedetails/6830-S-Justine-St-Chicago-IL-60636/2135703548_zpid/,,,$95,,,,,
623,Condo,2007,"Baseboard, Electric",Central,1 space,"$799,000", 1, 2, 1,340-E-Randolph-St-APT-401-Chicago-IL-60601,https://www.zillow.com/homedetails/340-E-Randolph-St-APT-401-Chicago-IL-60601/89886771_zpid/,$709/mo,,$591, 1,,,,
624,Townhouse,1994,"Forced air, Gas",Central,2 spaces,"$525,000", 3, 2, 2,2134-N-Bell-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2134-N-Bell-Ave-Chicago-IL-60647/3732328_zpid/,,"1,350 sqft",$328,,,,,
625,Single Family,1890,No Data,No Data,2 spaces,"$184,900", 2, 1, 1,3319-S-Oakley-Ave-Chicago-IL-60608,https://www.zillow.com/homedetails/3319-S-Oakley-Ave-Chicago-IL-60608/3879298_zpid/,None,"3,001 sqft",$308,,,,,
626,Single Family,2018,Gas,Central,2 spaces,"$2,295,000", 5, 5, 4,1831-N-Paulina-St-Chicago-IL-60622,https://www.zillow.com/homedetails/1831-N-Paulina-St-Chicago-IL-60622/2077697055_zpid/,,No Data,, 1,,,,
627,Condo,1907,Forced air,Central,None,"$225,000", 1, 1, 1,2531-N-Talman-Ave-APT-2E-Chicago-IL-60647,https://www.zillow.com/homedetails/2531-N-Talman-Ave-APT-2E-Chicago-IL-60647/60261937_zpid/,$175/month,,$308,,,,,
628,Single Family,1924,Gas,No Data,2 spaces,"$149,900", 3, 1, 1,10643-S-Avenue-F-Chicago-IL-60617,https://www.zillow.com/homedetails/10643-S-Avenue-F-Chicago-IL-60617/4171239_zpid/,,"4,225 sqft",$125,,,,,
629,Condo,1962,Forced air,Central,1 space,"$199,000", 0, 1, 1,535-N-Michigan-Ave-APT-1610-Chicago-IL-60611,https://www.zillow.com/homedetails/535-N-Michigan-Ave-APT-1610-Chicago-IL-60611/3864553_zpid/,$417/month,,$379,,,,,
630,Condo,1923,Forced air,Central,1 space,"$357,000", 3, 2, 2,3515-W-Medill-Ave-APT-2W-Chicago-IL-60647,https://www.zillow.com/homedetails/3515-W-Medill-Ave-APT-2W-Chicago-IL-60647/62008204_zpid/,$229/month,,$238,,,,,
631,Single Family,1927,Gas,No Data,2 spaces,"$244,500", 4, 2, 2,6423-S-Troy-St-Chicago-IL-60629,https://www.zillow.com/homedetails/6423-S-Troy-St-Chicago-IL-60629/3955094_zpid/,,"4,373 sqft",$56,,,,,
632,Multiple Occupancy,1919,Gas,Central,4 spaces,"$1,190,000", 7, 8, 7,1227-W-Winnemac-Ave-Chicago-IL-60640,https://www.zillow.com/homedetails/1227-W-Winnemac-Ave-Chicago-IL-60640/2077697385_zpid/,,,, 1,,,,
633,Condo,1971,Gas,No Data,1 space,"$184,900", 2, 1, 1,6875-N-Northwest-Hwy-APT-3D-Chicago-IL-60631,https://www.zillow.com/homedetails/6875-N-Northwest-Hwy-APT-3D-Chicago-IL-60631/3510355_zpid/,$320/month,,$154,,,,,
634,Condo,1930,No Data,No Data,1 space,"$335,000", 1, 1, 1,1255-N-Sandburg-Ter-UNIT-1501E-Chicago-IL-60610,https://www.zillow.com/homedetails/1255-N-Sandburg-Ter-UNIT-1501E-Chicago-IL-60610/3857378_zpid/,$562/month,,$394,,,,,
635,Single Family,1922,No Data,No Data,2 spaces,"$225,000", 4, 2, 2,6344-S-Fairfield-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/6344-S-Fairfield-Ave-Chicago-IL-60629/3955652_zpid/,None,"3,759 sqft",$191,,,,,
636,Condo,2016,"Forced air, Gas",Central,1 space,"$719,900", 3, 3, 2,1124-W-Fry-St-1-Chicago-IL-60642,https://www.zillow.com/homedetails/1124-W-Fry-St-1-Chicago-IL-60642/253422605_zpid/,$202/mo,,, 1,,,,
637,Condo,1974,Electric,No Data,1 space,"$239,000", 1, 1, 1,2007-N-Sedgwick-St-APT-503-Chicago-IL-60614,https://www.zillow.com/homedetails/2007-N-Sedgwick-St-APT-503-Chicago-IL-60614/3739256_zpid/,$305/month,,$299,,,,,
638,Single Family,2011,Gas,Central,2 spaces,"$1,388,000", 5, 4, 3,3011-N-Oakley-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3011-N-Oakley-Ave-Chicago-IL-60618/158595380_zpid/,None,"3,136 sqft",$330, 1,,,,
639,Single Family,2010,Gas,Central,2 spaces,"$1,400,000", 4, 5, 4,2449-W-Superior-St-Chicago-IL-60612,https://www.zillow.com/homedetails/2449-W-Superior-St-Chicago-IL-60612/89977213_zpid/,,"3,075 sqft",$467, 1,,,,
640,Multiple Occupancy,No Data,Gas,Central,3 spaces,"$549,000", 2, 3, 2,3800-W-Montrose-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3800-W-Montrose-Ave-Chicago-IL-60618/2138710717_zpid/,,,, 1,,,,
641,Single Family,2014,"Forced air, Gas",Central,2 spaces,"$1,375,000", 5, 5, 4,3621-N-Campbell-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3621-N-Campbell-Ave-Chicago-IL-60618/3668211_zpid/,,"3,720 sqft",$351, 1,,,,
642,Condo,2004,Forced air,Central,1 space,"$389,900", 2, 2, 2,2120-N-Point-St-2-Chicago-IL-60647,https://www.zillow.com/homedetails/2120-N-Point-St-2-Chicago-IL-60647/80844260_zpid/,$160/month,,$312,,,,,
643,Condo,1957,Gas,Wall,1 space,"$135,000", 0, 1, 1,850-N-Dewitt-Pl-APT-12C-Chicago-IL-60611,https://www.zillow.com/homedetails/850-N-Dewitt-Pl-APT-12C-Chicago-IL-60611/3852387_zpid/,$437/month,,$239,,,,,
644,Multiple Occupancy,No Data,Gas,No Data,2 spaces,"$500,000", 8, 4, 4,3340-W-Polk-St-Chicago-IL-60624,https://www.zillow.com/homedetails/3340-W-Polk-St-Chicago-IL-60624/2077698077_zpid/,,,,,,,,
645,Condo,2001,Forced air,Central,1 space,"$295,000", 1, 1, 1,111-S-Morgan-St-APT-522-Chicago-IL-60607,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-522-Chicago-IL-60607/65434083_zpid/,$427/month,,$397,,,,,
646,Condo,2005,Forced air,Central,1 space,"$625,000", 3, 3, 2,1742-W-Beach-Ave-1-Chicago-IL-60622,https://www.zillow.com/homedetails/1742-W-Beach-Ave-1-Chicago-IL-60622/80836362_zpid/,$250/month,,$312, 1,,,,
647,Condo,2018,"Forced air, Gas",Central,1 space,"$785,000", 2, 2, 2,1926-N-Cleveland-Ave-2-Chicago-IL-60614,https://www.zillow.com/homedetails/1926-N-Cleveland-Ave-2-Chicago-IL-60614/2101989557_zpid/,$170/mo,,$561,,,,,
648,Condo,1970,Gas,Other,1 space,"$175,000", 2, 2, 1,6490-N-Northwest-Hwy-APT-2C-Chicago-IL-60631,https://www.zillow.com/homedetails/6490-N-Northwest-Hwy-APT-2C-Chicago-IL-60631/3513016_zpid/,$284/month,,$184, 1,,,,
649,Condo,2018,Radiant,Wall,None,"$209,900", 2, 1, 1,1243-W-Ardmore-Ave-2-Chicago-IL-60660,https://www.zillow.com/homedetails/1243-W-Ardmore-Ave-2-Chicago-IL-60660/54533178_zpid/,$284/month,,$233,,,,,
650,Single Family,1900,Forced air,Central,1 space,"$899,900", 3, 4, 3,2710-N-Dayton-St-Chicago-IL-60614,https://www.zillow.com/homedetails/2710-N-Dayton-St-Chicago-IL-60614/2077698597_zpid/,None,No Data,No Data, 1,,,,
651,Condo,1969,"Forced air, Gas",Central,1 space,"$230,000", 1, 1, 1,2800-N-Lake-Shore-Dr-APT-615-Chicago-IL-60657,https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-615-Chicago-IL-60657/3723349_zpid/,$498/mo,,$250,,,,,
652,Condo,1925,Gas,Central,None,"$149,000", 2, 1, 1,4509-N-Albany-Ave-B-Chicago-IL-60625,https://www.zillow.com/homedetails/4509-N-Albany-Ave-B-Chicago-IL-60625/2077698670_zpid/,$169/month,,$125,,,,,
653,Condo,1923,Forced air,Central,1 space,"$215,000", 2, 1, 1,4901-N-Avers-Ave-APT-3-Chicago-IL-60625,https://www.zillow.com/homedetails/4901-N-Avers-Ave-APT-3-Chicago-IL-60625/60261429_zpid/,$265/month,,$195,,,,,
654,Condo,2002,Forced air,Central,1 space,"$400,000", 2, 2, 2,645-N-Kingsbury-St-APT-1308-Chicago-IL-60654,https://www.zillow.com/homedetails/645-N-Kingsbury-St-APT-1308-Chicago-IL-60654/63699903_zpid/,$882/month,,$333,,,,,
655,Condo,1974,Forced air,Other,1 space,"$279,900", 2, 1, 1,1339-N-Dearborn-St-APT-3H-Chicago-IL-60610,https://www.zillow.com/homedetails/1339-N-Dearborn-St-APT-3H-Chicago-IL-60610/3856659_zpid/,$610/month,,$280,,,,,
656,Condo,2016,Gas,Central,None,"$241,700", 2, 1, 1,2723-W-Wellington-Ave-3-Chicago-IL-60618,https://www.zillow.com/homedetails/2723-W-Wellington-Ave-3-Chicago-IL-60618/80854786_zpid/,$262/month,,$242,,,,,
657,Condo,2009,Gas,Central,1 space,"$379,900", 1, 1, 1,860-W-Blackhawk-St-UNIT-2504-Chicago-IL-60642,https://www.zillow.com/homedetails/860-W-Blackhawk-St-UNIT-2504-Chicago-IL-60642/119093145_zpid/,$552/mo,,$380,,,,,
658,Condo,1979,Electric,No Data,1 space,"$275,000", 2, 2, 1,901-S-Plymouth-Ct-APT-304-Chicago-IL-60605,https://www.zillow.com/homedetails/901-S-Plymouth-Ct-APT-304-Chicago-IL-60605/3873102_zpid/,$524/month,,$229, 1,,,,
659,Condo,No Data,Gas,Central,1 space,"$339,000", 2, 2, 2,1525-S-Sangamon-St-UNIT-417-P-Chicago-IL-60608,https://www.zillow.com/homedetails/1525-S-Sangamon-St-UNIT-417-P-Chicago-IL-60608/2077698932_zpid/,$500/month,,$295,,,,,
660,Condo,1913,Forced air,Central,1 space,"$389,000", 2, 2, 2,4655-N-Winchester-Ave-2N-Chicago-IL-60640,https://www.zillow.com/homedetails/4655-N-Winchester-Ave-2N-Chicago-IL-60640/3707680_zpid/,$438/month,,$259,,,,,
661,Condo,1920,"Forced air, Gas",Central,No Data,"$170,000", 2, 1, 1,4403-N-Sacramento-Ave-APT-1-Chicago-IL-60625,https://www.zillow.com/homedetails/4403-N-Sacramento-Ave-APT-1-Chicago-IL-60625/54532519_zpid/,$200/mo,,$170,,,,,
662,Condo,No Data,No Data,No Data,No Data,"$146,000", 1, 1, 1,1435-W-Greenleaf-Ave-APT-2S-Chicago-IL-60626,https://www.zillow.com/homedetails/1435-W-Greenleaf-Ave-APT-2S-Chicago-IL-60626/2100610492_zpid/,$362/mo,,$146,,,,,
663,Condo,2004,Forced air,Central,2 spaces,"$549,000", 2, 3, 2,2614-N-Wilton-Ave-UNIT-2-Chicago-IL-60614,https://www.zillow.com/homedetails/2614-N-Wilton-Ave-UNIT-2-Chicago-IL-60614/70461605_zpid/,$150/month,,$305, 1,,,,
664,Single Family,1884,"Forced air, Gas",Central,1 space,"$950,000", 3, 3, 3,109-W-Elm-St-Chicago-IL-60610,https://www.zillow.com/homedetails/109-W-Elm-St-Chicago-IL-60610/158764828_zpid/,,"1,350 sqft",$368,,,,,
665,Condo,2004,Forced air,Central,1 space,"$349,000", 1, 1, 1,744-N-Clark-St-APT-1003-Chicago-IL-60654,https://www.zillow.com/homedetails/744-N-Clark-St-APT-1003-Chicago-IL-60654/65566297_zpid/,$485/month,,$388,,,,,
666,Single Family,1943,Electric,No Data,2 spaces,"$135,000", 3, 2, 1,12145-S-Perry-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/12145-S-Perry-Ave-Chicago-IL-60628/4157328_zpid/,,"4,356 sqft",$115, 1,,,,
667,Multi Family,1880,Forced air,No Data,1 space,"$89,900", 5, 3, 3,9127-S-Baltimore-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/9127-S-Baltimore-Ave-Chicago-IL-60617/2098076213_zpid/,,,No Data,,,,,
668,Condo,1927,Forced air,Central,None,"$165,000", 2, 1, 1,4855-N-Avers-Ave-APT-3-Chicago-IL-60625,https://www.zillow.com/homedetails/4855-N-Avers-Ave-APT-3-Chicago-IL-60625/55794831_zpid/,$289/month,,$183,,,,,
669,Single Family,1913,Gas,Central,1 space,"$30,000", 5, 2, 2,10721-S-Lafayette-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/10721-S-Lafayette-Ave-Chicago-IL-60628/4143036_zpid/,,"4,573 sqft",$15,,,,,
670,Condo,1979,No Data,No Data,1 space,"$145,000", 2, 1, 1,4955-N-Mango-Ave-105-Chicago-IL-60630,https://www.zillow.com/homedetails/4955-N-Mango-Ave-105-Chicago-IL-60630/3635650_zpid/,$219/month,,No Data,,,,,
671,Single Family,1941,"Forced air, Gas",Central,2 spaces,"$155,000", 3, 2, 1,2126-W-75th-Place-Chicago-IL-60620,https://www.zillow.com/homedetails/2126-W-75th-Place-Chicago-IL-60620/2102866201_zpid/,,"4,234 sqft",$135, 1,,,,
672,Condo,1967,"Baseboard, Gas",No Data,1 space,"$119,900", 2, 1, 1,5830-W-Lawrence-Ave-APT-3N-Chicago-IL-60630,https://www.zillow.com/homedetails/5830-W-Lawrence-Ave-APT-3N-Chicago-IL-60630/62007847_zpid/,$255/mo,,$126,,,,,
673,Condo,2005,"Forced air, Gas",Central,1 space,"$247,900", 1, 1, 1,1111-S-Wabash-Ave-APT-1107-Chicago-IL-60605,https://www.zillow.com/homedetails/1111-S-Wabash-Ave-APT-1107-Chicago-IL-60605/70472271_zpid/,$432/mo,,$305,,,,,
674,Condo,2008,"Forced air, Gas",Central,1 space,"$315,000", 1, 1, 1,659-W-Randolph-St-1707-Chicago-IL-60661,https://www.zillow.com/homedetails/659-W-Randolph-St-1707-Chicago-IL-60661/2137487327_zpid/,$587/mo,,$380,,,,,
675,Single Family,1928,No Data,Central,3 spaces,"$799,000", 4, 5, 3,10711-S-Hoyne-Ave-Chicago-IL-60643,https://www.zillow.com/homedetails/10711-S-Hoyne-Ave-Chicago-IL-60643/4146996_zpid/,,"10,049 sqft",$203, 2,,,,
676,Single Family,1948,"Forced air, Other, Gas","Refrigerator, Central",4 spaces,"$1,085,000", 4, 5, 4,9401-S-Hoyne-Ave-Chicago-IL-60643,https://www.zillow.com/homedetails/9401-S-Hoyne-Ave-Chicago-IL-60643/4124344_zpid/,,"9,147 sqft",$205, 1,,,,
677,Single Family,1921,"Forced air, Gas",Central,2 spaces,"$194,900", 4, 2, 2,8719-S-Laflin-St-Chicago-IL-60620,https://www.zillow.com/homedetails/8719-S-Laflin-St-Chicago-IL-60620/4120247_zpid/,,"4,656 sqft",$77,,,,,
678,Condo,2016,Gas,Central,1 space,"$520,000", 2, 2, 2,5820-N-Clark-St-204-Chicago-IL-60660,https://www.zillow.com/homedetails/5820-N-Clark-St-204-Chicago-IL-60660/306332589_zpid/,$213/mo,,$333,,,,,
679,Condo,No Data,Forced air,Central,1 space,"$489,000", 3, 3, 3,4413-N-Magnolia-Ave-APT-1N-Chicago-IL-60640,https://www.zillow.com/homedetails/4413-N-Magnolia-Ave-APT-1N-Chicago-IL-60640/2077699896_zpid/,$370/month,,$188,,,,,
680,Condo,2020,Forced air,Central,1 space,"$495,000", 2, 2, 2,https:,https://www.zillow.com/community/triangle-square-condos/2080013017_zpid/,No Data,,$403,,,,,
681,Single Family,1923,No Data,No Data,2 spaces,"$130,000", 4, 2, 2,8751-S-Parnell-Ave-Chicago-IL-60620,https://www.zillow.com/homedetails/8751-S-Parnell-Ave-Chicago-IL-60620/4118198_zpid/,,"4,521 sqft",$94,,,,,
682,Condo,1950,Forced air,Central,None,"$299,900", 2, 2, 2,1430-W-Chestnut-St-APT-1-Chicago-IL-60642,https://www.zillow.com/homedetails/1430-W-Chestnut-St-APT-1-Chicago-IL-60642/87722402_zpid/,$113/month,,$273,,,,,
683,Condo,1964,Gas,Central,1 space,"$470,000", 1, 1, 1,400-E-Randolph-St-APT-2307-Chicago-IL-60601,https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2307-Chicago-IL-60601/3869475_zpid/,$747/month,,$470,,,,,
684,Townhouse,1988,"Forced air, Gas",Central,2 spaces,"$585,000", 3, 3, 3,2720-N-Greenview-Ave-APT-L-Chicago-IL-60614,https://www.zillow.com/homedetails/2720-N-Greenview-Ave-APT-L-Chicago-IL-60614/3728755_zpid/,,1.02 Acres,,,,,,
685,Townhouse,2006,Forced air,Central,4 spaces,"$1,390,000", 4, 6, 3,1626-S-Albany-Ave-Chicago-IL-60623,https://www.zillow.com/homedetails/1626-S-Albany-Ave-Chicago-IL-60623/65543723_zpid/,$230/month,"2,803 sqft",$174, 3,,,,
686,Condo,1958,No Data,No Data,2 spaces,"$129,000", 1, 1, 1,3900-N-Lake-Shore-Dr-APT-7E-Chicago-IL-60613,https://www.zillow.com/homedetails/3900-N-Lake-Shore-Dr-APT-7E-Chicago-IL-60613/3714050_zpid/,$652/month,,$158,,,,,
687,Townhouse,1965,Forced air,Central,1 space,"$255,000", 4, 2, 1,6256-N-Hoyne-Ave-G-Chicago-IL-60659,https://www.zillow.com/homedetails/6256-N-Hoyne-Ave-G-Chicago-IL-60659/3695541_zpid/,,"2,131 sqft",$196, 1,,,,
688,Condo,2015,"Forced air, Gas",Central,1 space,"$349,500", 2, 2, 2,4735-N-Damen-Ave-APT-3F-Chicago-IL-60625,https://www.zillow.com/homedetails/4735-N-Damen-Ave-APT-3F-Chicago-IL-60625/89919669_zpid/,$247/mo,,,,,,,
689,Condo,2008,Forced air,Central,1 space,"$469,500", 2, 2, 2,1937-W-Diversey-Pkwy-APT-5E-Chicago-IL-60614,https://www.zillow.com/homedetails/1937-W-Diversey-Pkwy-APT-5E-Chicago-IL-60614/101340593_zpid/,$290/month,,$361,,,,,
690,Condo,1925,"Forced air, Electric",Central,1 space,"$449,500", 2, 2, 2,3323-N-Paulina-St-APT-3H-Chicago-IL-60657,https://www.zillow.com/homedetails/3323-N-Paulina-St-APT-3H-Chicago-IL-60657/3710540_zpid/,$560/mo,,$257,,,,,
691,Single Family,1950,Forced air,No Data,2 spaces,"$175,000", 3, 2, 1,1725-W-90th-Pl-Chicago-IL-60620,https://www.zillow.com/homedetails/1725-W-90th-Pl-Chicago-IL-60620/4123694_zpid/,,"3,100 sqft",$175, 1,,,,
692,Single Family,1925,No Data,No Data,2 spaces,"$215,000", 3, 2, 1,5932-S-Talman-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/5932-S-Talman-Ave-Chicago-IL-60629/3933211_zpid/,,"3,754 sqft",$134, 1,,,,
693,Condo,2007,Forced air,Central,Detached Garage,"$229,900", 3, 2, 2,4624-S-Greenwood-Ave-Chicago-IL-60653,https://www.zillow.com/homedetails/4624-S-Greenwood-Ave-Chicago-IL-60653/89903084_zpid/,$261/month,,$144,,,,,
694,Single Family,1942,Gas,No Data,2 spaces,"$185,000", 3, 2, 2,7341-S-Francisco-Ave-Chicago-IL-60629,https://www.zillow.com/homedetails/7341-S-Francisco-Ave-Chicago-IL-60629/3957199_zpid/,,"5,039 sqft",$193,,,,,
695,Single Family,1951,Gas,Central,2 spaces,"$225,000", 5, 3, 3,9920-S-Carpenter-St-Chicago-IL-60643,https://www.zillow.com/homedetails/9920-S-Carpenter-St-Chicago-IL-60643/4128921_zpid/,$457/month,"3,789 sqft",$161,,,,,
696,Single Family,1890,Gas,Central,2 spaces,"$150,000", 3, 3, 2,1221-W-Garfield-Blvd-Chicago-IL-60636,https://www.zillow.com/homedetails/1221-W-Garfield-Blvd-Chicago-IL-60636/3991893_zpid/,,"3,746 sqft",$100, 1,,,,
697,Condo,No Data,No Data,No Data,1 space,"$480,000", 1, 1, 1,https:,https://www.zillow.com/community/cirrus-condominiums/2083885997_zpid/,,,$724,,,,,
698,Condo,2005,Forced air,Central,2 spaces,"$365,000", 2, 2, 2,1101-S-State-St-APT-1503-Chicago-IL-60605,https://www.zillow.com/homedetails/1101-S-State-St-APT-1503-Chicago-IL-60605/2142303583_zpid/,"$1,015/month",,$293,,,,,
699,Condo,2007,Forced air,Central,1 space,"$229,900", 3, 2, 2,4624-S-Greenwood-Ave-UNIT-GN-Chicago-IL-60653,https://www.zillow.com/homedetails/4624-S-Greenwood-Ave-UNIT-GN-Chicago-IL-60653/2118214826_zpid/,$182/month,,$144,,,,,
